Time,EA_raw,EA_smooth
2013-07-01 23:36:20,14.284515685252243,14.33
2013-07-02 03:49:14,16.350312474687556,16.23
2013-07-02 08:56:20,19.055522556090935,19.04
2013-07-02 13:14:23,21.957475188869104,22.13
2013-07-02 17:58:16,25.15454164870946,25.15
2013-07-02 22:08:35,27.859751730112848,27.89
2013-07-03 02:00:50,30.564961811516227,30.31
2013-07-03 04:53:45,32.43401604957674,32.46
2013-07-03 08:15:02,34.35225592548096,34.44
2013-07-03 11:23:25,36.12293888785408,36.38
2013-07-03 15:26:00,38.58222078003897,38.36
2013-07-03 18:26:39,40.500460655943186,40.39
2013-07-03 21:37:37,42.22195798047261,42.38
2013-07-04 01:19:33,44.09101221853313,44.05
