Time,EA_raw,EA_smooth
2013-07-01 20:04:43,14.276026793441657,14.35
2013-07-01 23:38:40,15.86528049947085,15.71
2013-07-02 03:54:52,18.022124814796186,18.12
2013-07-02 09:25:02,21.20063222685458,20.97
2013-07-02 13:01:38,23.527753724968754,23.86
2013-07-02 16:35:35,26.195429588660616,26.56
2013-07-02 21:31:24,29.544214183507847,28.98
2013-07-03 00:04:36,31.30374507232588,31.14
2013-07-03 03:01:34,33.0065169002143,33.11
2013-07-03 06:06:28,34.87956591089157,35.01
2013-07-03 09:11:21,36.69585586063922,36.94
2013-07-03 13:22:17,39.13649548061262,38.98
2013-07-03 16:32:28,41.17982167407873,41.12
2013-07-03 20:01:08,43.39342505033368,43.24
2013-07-03 22:42:15,44.86916063450364,45.07
2013-07-04 01:02:14,46.23137809681438,46.18
