Time,EA_raw,EA_smooth
2013-07-01 22:40:12,14.232028997888838,14.18
2013-07-02 03:45:06,16.87732503050946,16.98
2013-07-02 09:01:23,19.691469746063312,19.77
2013-07-02 13:20:41,22.78702893317255,22.58
2013-07-02 17:08:38,25.376042071482097,25.37
2013-07-02 21:27:56,28.190186787035948,28.12
2013-07-03 01:07:20,30.554068348101183,30.81
2013-07-03 05:26:38,33.1993643807218,33.4
2013-07-03 10:14:25,36.182357779208886,35.86
2013-07-03 13:31:02,38.37739065734089,38.18
2013-07-03 16:56:12,40.17844327529536,40.36
2013-07-03 20:12:48,42.20462747049413,42.41
2013-07-04 00:00:45,44.568509031559365,44.36
2013-07-04 03:03:07,46.25699586089168,46.3
