Time,EA_raw,EA_smooth
2013-07-02 03:11:07,14.35027378125229,14.46
2013-07-02 07:55:35,16.767902971119092,16.54
2013-07-02 11:35:32,18.94376924199922,19.04
2013-07-02 15:47:45,21.84492426983938,21.73
2013-07-02 19:36:30,24.38343491919953,24.47
2013-07-02 23:22:19,26.80106410906633,27.13
2013-07-03 03:14:00,29.400015488173153,29.65
2013-07-03 08:45:24,32.784696353986675,32.0
2013-07-03 11:20:50,34.3561553274001,34.16
2013-07-03 13:56:16,35.86717357106685,36.16
2013-07-03 16:43:26,37.619954733720284,38.06
2013-07-03 20:49:47,40.03758392358709,39.92
2013-07-04 00:26:48,41.971687275480534,41.83
2013-07-04 04:00:53,43.96623135712065,43.87
2013-07-04 07:32:02,46.0816568982541,46.17
