Time,EA_raw,EA_smooth
2013-07-01 21:44:39,13.926598047002015,13.75
2013-07-02 00:39:07,15.510952355263667,16.16
2013-07-02 08:38:54,19.990850744141447,19.24
2013-07-02 12:25:42,22.23079993858034,22.39
2013-07-02 17:04:51,25.344875647922215,25.3
2013-07-02 20:25:30,27.530191935179666,27.9
2013-07-03 00:55:55,30.261837294251485,30.27
2013-07-03 04:57:16,33.04811556050474,32.57
2013-07-03 07:40:06,34.741735683129264,34.97
2013-07-03 11:53:05,37.41874813501965,37.55
2013-07-03 17:10:02,40.47819093718008,40.27
2013-07-03 20:36:29,42.71814013161897,42.86
2013-07-04 00:29:07,44.79419060451355,44.76
