Time,EA_raw,EA_smooth
2013-07-02 05:43:20,14.129842884529142,14.08
2013-07-02 09:10:55,16.0497248882469,16.28
2013-07-02 13:36:18,18.82288778250588,18.57
2013-07-02 16:58:37,21.062750120176595,20.93
2013-07-02 20:18:19,23.142622290870833,23.29
2013-07-02 23:51:08,25.489144739859206,25.63
2013-07-03 03:29:14,27.675677021871095,27.92
2013-07-03 07:49:21,30.448839916130076,30.14
2013-07-03 10:55:55,32.47538203116549,32.25
2013-07-03 14:10:21,34.34193397922442,34.27
2013-07-03 16:45:23,35.72851542635391,36.18
2013-07-03 21:16:01,38.181697986659934,38.0
2013-07-03 23:48:25,39.67493954510708,39.75
2013-07-04 03:21:15,41.541491493166006,41.49
2013-07-04 06:25:11,43.30138332990729,43.24
2013-07-04 09:21:13,45.061275166648564,45.1
