Time,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
2012-07-13 08:57:00,49.20,47.20,41.91,2.00,7.29
2012-07-13 08:58:00,49.20,47.20,41.92,2.00,7.28
2012-07-13 08:59:00,49.20,47.20,41.93,2.00,7.27
2012-07-13 09:00:00,49.20,47.20,41.93,2.00,7.27
2012-07-13 09:01:00,49.20,47.20,41.94,2.00,7.26
2012-07-13 09:02:00,49.20,47.20,41.94,2.00,7.26
2012-07-13 09:03:00,49.20,47.20,41.95,2.00,7.25
2012-07-13 09:04:00,49.20,47.20,41.95,2.00,7.25
2012-07-13 09:05:00,49.20,47.20,41.96,2.00,7.24
2012-07-13 09:06:00,49.20,47.20,41.97,2.00,7.23
2012-07-13 09:07:00,49.20,47.20,41.97,2.00,7.23
2012-07-13 09:08:00,49.20,47.20,41.98,2.00,7.22
2012-07-13 09:09:00,49.20,47.20,41.99,2.00,7.21
2012-07-13 09:10:00,49.20,47.20,42.00,2.00,7.20
2012-07-13 09:11:00,49.20,47.20,42.00,2.00,7.20
2012-07-13 09:12:00,49.20,47.20,42.01,2.00,7.19
2012-07-13 09:13:00,49.20,47.20,42.02,2.00,7.18
2012-07-13 09:14:00,49.20,47.20,42.03,2.00,7.17
2012-07-13 09:15:00,49.20,47.20,42.03,2.00,7.17
2012-07-13 09:16:00,49.20,47.20,42.04,2.00,7.16
2012-07-13 09:17:00,49.20,47.20,42.05,2.00,7.15
2012-07-13 09:18:00,49.20,47.20,42.06,2.00,7.14
2012-07-13 09:19:00,49.20,47.20,42.06,2.00,7.14
2012-07-13 09:20:00,49.20,47.20,42.07,2.00,7.13
2012-07-13 09:21:00,49.20,47.20,42.08,2.00,7.12
2012-07-13 09:22:00,49.20,47.20,42.09,2.00,7.11
2012-07-13 09:23:00,49.20,47.20,42.10,2.00,7.10
2012-07-13 09:24:00,49.20,47.20,42.10,2.00,7.10
2012-07-13 09:25:00,49.20,47.20,42.11,2.00,7.09
2012-07-13 09:26:00,49.20,47.20,42.12,2.00,7.08
2012-07-13 09:27:00,49.20,47.20,42.13,2.00,7.07
2012-07-13 09:28:00,49.20,47.20,42.14,2.00,7.06
2012-07-13 09:29:00,49.20,47.20,42.15,2.00,7.05
2012-07-13 09:30:00,49.20,47.20,42.16,2.00,7.04
2012-07-13 09:31:00,49.20,47.20,42.16,2.00,7.04
2012-07-13 09:32:00,49.20,47.20,42.17,2.00,7.03
2012-07-13 09:33:00,49.20,47.20,42.18,2.00,7.02
2012-07-13 09:34:00,49.20,47.20,42.19,2.00,7.01
2012-07-13 09:35:00,49.20,47.20,42.20,2.00,7.00
2012-07-13 09:36:00,49.20,47.20,42.21,2.00,6.99
2012-07-13 09:37:00,49.20,47.20,42.22,2.00,6.98
2012-07-13 09:38:00,49.20,47.20,42.23,2.00,6.97
