CME_num,Actual_TT,Seed_TT,ML_TT_mean,ML_TT_std,Seed_error,ML_error_mean,ML_error_std
08_2012-03-07,34.05,24.87,35.04,9.18,-0.99
08_2012-03-07,34.05,24.87,35.03,9.18,-0.98
08_2012-03-07,34.05,24.87,35.03,9.18,-0.98
08_2012-03-07,34.05,24.87,35.02,9.18,-0.97
08_2012-03-07,34.05,24.87,35.01,9.18,-0.96
08_2012-03-07,34.05,24.87,35.01,9.18,-0.96
08_2012-03-07,34.05,24.87,35.00,9.18,-0.95
08_2012-03-07,34.05,24.87,35.00,9.18,-0.95
08_2012-03-07,34.05,24.87,35.00,9.18,-0.95
08_2012-03-07,34.05,24.87,34.99,9.18,-0.94
08_2012-03-07,34.05,24.87,34.99,9.18,-0.94
08_2012-03-07,34.05,24.87,34.98,9.18,-0.93
08_2012-03-07,34.05,24.87,34.98,9.18,-0.93
08_2012-03-07,34.05,24.87,34.97,9.18,-0.92
08_2012-03-07,34.05,24.87,34.97,9.18,-0.92
08_2012-03-07,34.05,24.87,34.96,9.18,-0.91
08_2012-03-07,34.05,24.87,34.96,9.18,-0.91
08_2012-03-07,34.05,24.87,34.95,9.18,-0.90
08_2012-03-07,34.05,24.87,34.95,9.18,-0.90
08_2012-03-07,34.05,24.87,34.95,9.18,-0.90
08_2012-03-07,34.05,24.87,34.94,9.18,-0.89
08_2012-03-07,34.05,24.87,34.94,9.18,-0.89
08_2012-03-07,34.05,24.87,34.93,9.18,-0.88
08_2012-03-07,34.05,24.87,34.93,9.18,-0.88
08_2012-03-07,34.05,24.87,34.92,9.18,-0.87
08_2012-03-07,34.05,24.87,34.92,9.18,-0.87
08_2012-03-07,34.05,24.87,34.91,9.18,-0.86
08_2012-03-07,34.05,24.87,34.91,9.18,-0.86
08_2012-03-07,34.05,24.87,34.91,9.18,-0.86
08_2012-03-07,34.05,24.87,34.90,9.18,-0.85
08_2012-03-07,34.05,24.87,34.90,9.18,-0.85
08_2012-03-07,34.05,24.87,34.89,9.18,-0.84
08_2012-03-07,34.05,24.87,34.89,9.18,-0.84
08_2012-03-07,34.05,24.87,34.89,9.18,-0.84
08_2012-03-07,34.05,24.87,34.88,9.18,-0.83
08_2012-03-07,34.05,24.87,34.88,9.18,-0.83
08_2012-03-07,34.05,24.87,34.87,9.18,-0.82
08_2012-03-07,34.05,24.87,34.87,9.18,-0.82
08_2012-03-07,34.05,24.87,34.87,9.18,-0.82
08_2012-03-07,34.05,24.87,34.86,9.18,-0.81
08_2012-03-07,34.05,24.87,34.86,9.18,-0.81
08_2012-03-07,34.05,24.87,34.86,9.18,-0.81
08_2012-03-07,34.05,24.87,34.86,9.18,-0.81
08_2012-03-07,34.05,24.87,34.85,9.18,-0.80
08_2012-03-07,34.05,24.87,34.85,9.18,-0.80
08_2012-03-07,34.05,24.87,34.85,9.18,-0.80
08_2012-03-07,34.05,24.87,34.84,9.18,-0.79
08_2012-03-07,34.05,24.87,34.84,9.18,-0.79
08_2012-03-07,34.05,24.87,34.84,9.18,-0.79
08_2012-03-07,34.05,24.87,34.84,9.18,-0.79
08_2012-03-07,34.05,24.87,34.84,9.18,-0.79
08_2012-03-07,34.05,24.87,34.84,9.18,-0.79
08_2012-03-07,34.05,24.87,34.84,9.18,-0.79
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.82,9.18,-0.77
08_2012-03-07,34.05,24.87,34.82,9.18,-0.77
08_2012-03-07,34.05,24.87,34.82,9.18,-0.77
08_2012-03-07,34.05,24.87,34.82,9.18,-0.77
08_2012-03-07,34.05,24.87,34.82,9.18,-0.77
08_2012-03-07,34.05,24.87,34.82,9.18,-0.77
08_2012-03-07,34.05,24.87,34.81,9.18,-0.76
08_2012-03-07,34.05,24.87,34.81,9.18,-0.76
08_2012-03-07,34.05,24.87,34.81,9.18,-0.76
08_2012-03-07,34.05,24.87,34.81,9.18,-0.76
08_2012-03-07,34.05,24.87,34.80,9.18,-0.75
08_2012-03-07,34.05,24.87,34.80,9.18,-0.75
08_2012-03-07,34.05,24.87,34.80,9.18,-0.75
08_2012-03-07,34.05,24.87,34.80,9.18,-0.75
08_2012-03-07,34.05,24.87,34.80,9.18,-0.75
08_2012-03-07,34.05,24.87,34.80,9.18,-0.75
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
