Time,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
2012-10-06 09:36:00,75.67,94.67,73.91,-19.00,1.76
2012-10-06 09:37:00,75.67,94.67,73.89,-19.00,1.78
2012-10-06 09:38:00,75.67,94.67,73.88,-19.00,1.79
2012-10-06 09:39:00,75.67,94.67,73.86,-19.00,1.81
2012-10-06 09:40:00,75.67,94.67,73.85,-19.00,1.82
2012-10-06 09:41:00,75.67,94.67,73.83,-19.00,1.84
2012-10-06 09:42:00,75.67,94.67,73.82,-19.00,1.85
2012-10-06 09:43:00,75.67,94.67,73.80,-19.00,1.87
2012-10-06 09:44:00,75.67,94.67,73.79,-19.00,1.88
2012-10-06 09:45:00,75.67,94.67,73.77,-19.00,1.90
2012-10-06 09:46:00,75.67,94.67,73.76,-19.00,1.91
2012-10-06 09:47:00,75.67,94.67,73.74,-19.00,1.93
2012-10-06 09:48:00,75.67,94.67,73.73,-19.00,1.94
2012-10-06 09:49:00,75.67,94.67,73.71,-19.00,1.96
2012-10-06 09:50:00,75.67,94.67,73.70,-19.00,1.97
2012-10-06 09:51:00,75.67,94.67,73.68,-19.00,1.98
2012-10-06 09:52:00,75.67,94.67,73.67,-19.00,2.00
2012-10-06 09:53:00,75.67,94.67,73.65,-19.00,2.01
2012-10-06 09:54:00,75.67,94.67,73.64,-19.00,2.03
2012-10-06 09:55:00,75.67,94.67,73.62,-19.00,2.04
2012-10-06 09:56:00,75.67,94.67,73.61,-19.00,2.06
2012-10-06 09:57:00,75.67,94.67,73.60,-19.00,2.07
2012-10-06 09:58:00,75.67,94.67,73.58,-19.00,2.08
2012-10-06 09:59:00,75.67,94.67,73.57,-19.00,2.10
2012-10-06 10:00:00,75.67,94.67,73.55,-19.00,2.11
2012-10-06 10:01:00,75.67,94.67,73.54,-19.00,2.13
2012-10-06 10:02:00,75.67,94.67,73.53,-19.00,2.14
2012-10-06 10:03:00,75.67,94.67,73.51,-19.00,2.15
2012-10-06 10:04:00,75.67,94.67,73.50,-19.00,2.17
2012-10-06 10:05:00,75.67,94.67,73.49,-19.00,2.18
2012-10-06 10:06:00,75.67,94.67,73.47,-19.00,2.19
2012-10-06 10:07:00,75.67,94.67,73.46,-19.00,2.21
2012-10-06 10:08:00,75.67,94.67,73.45,-19.00,2.22
2012-10-06 10:09:00,75.67,94.67,73.43,-19.00,2.23
2012-10-06 10:10:00,75.67,94.67,73.42,-19.00,2.25
2012-10-06 10:11:00,75.67,94.67,73.41,-19.00,2.26
2012-10-06 10:12:00,75.67,94.67,73.39,-19.00,2.27
2012-10-06 10:13:00,75.67,94.67,73.38,-19.00,2.29
2012-10-06 10:14:00,75.67,94.67,73.37,-19.00,2.30
2012-10-06 10:15:00,75.67,94.67,73.36,-19.00,2.31
2012-10-06 10:16:00,75.67,94.67,73.34,-19.00,2.32
2012-10-06 10:17:00,75.67,94.67,73.33,-19.00,2.33
2012-10-06 10:18:00,75.67,94.67,73.32,-19.00,2.35
2012-10-06 10:19:00,75.67,94.67,73.26,-19.00,2.40
2012-10-06 10:20:00,75.67,94.67,73.21,-19.00,2.46
2012-10-06 10:21:00,75.67,94.67,73.15,-19.00,2.51
2012-10-06 10:22:00,75.67,94.67,73.10,-19.00,2.57
2012-10-06 10:23:00,75.67,94.67,73.05,-19.00,2.62
2012-10-06 10:24:00,75.67,94.67,72.99,-19.00,2.67
2012-10-06 10:25:00,75.67,94.67,72.94,-19.00,2.73
2012-10-06 10:26:00,75.67,94.67,72.89,-19.00,2.78
2012-10-06 10:27:00,75.67,94.67,72.83,-19.00,2.83
2012-10-06 10:28:00,75.67,94.67,72.78,-19.00,2.89
2012-10-06 10:29:00,75.67,94.67,72.73,-19.00,2.94
2012-10-06 10:30:00,75.67,94.67,72.68,-19.00,2.99
2012-10-06 10:31:00,75.67,94.67,72.62,-19.00,3.04
2012-10-06 10:32:00,75.67,94.67,72.57,-19.00,3.09
2012-10-06 10:33:00,75.67,94.67,72.52,-19.00,3.14
2012-10-06 10:34:00,75.67,94.67,72.47,-19.00,3.19
2012-10-06 10:35:00,75.67,94.67,72.42,-19.00,3.24
2012-10-06 10:36:00,75.67,94.67,72.38,-19.00,3.29
2012-10-06 10:37:00,75.67,94.67,72.33,-19.00,3.34
2012-10-06 10:38:00,75.67,94.67,72.28,-19.00,3.39
2012-10-06 10:39:00,75.67,94.67,72.23,-19.00,3.44
2012-10-06 10:40:00,75.67,94.67,72.18,-19.00,3.48
2012-10-06 10:41:00,75.67,94.67,72.14,-19.00,3.53
2012-10-06 10:42:00,75.67,94.67,72.09,-19.00,3.57
2012-10-06 10:43:00,75.67,94.67,72.05,-19.00,3.61
2012-10-06 10:44:00,75.67,94.67,72.01,-19.00,3.66
2012-10-06 10:45:00,75.67,94.67,71.98,-19.00,3.69
2012-10-06 10:46:00,75.67,94.67,71.95,-19.00,3.72
2012-10-06 10:47:00,75.67,94.67,71.91,-19.00,3.75
2012-10-06 10:48:00,75.67,94.67,71.88,-19.00,3.78
2012-10-06 10:49:00,75.67,94.67,71.85,-19.00,3.81
