Time,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
2010-08-02 05:23:00,57.00,58.00,65.50,-1.00,-8.50
2010-08-02 05:24:00,57.00,58.00,65.44,-1.00,-8.44
2010-08-02 05:25:00,57.00,58.00,65.37,-1.00,-8.37
2010-08-02 05:26:00,57.00,58.00,65.31,-1.00,-8.31
2010-08-02 05:27:00,57.00,58.00,65.25,-1.00,-8.25
2010-08-02 05:28:00,57.00,58.00,65.19,-1.00,-8.19
2010-08-02 05:29:00,57.00,58.00,65.14,-1.00,-8.14
2010-08-02 05:30:00,57.00,58.00,65.08,-1.00,-8.08
2010-08-02 05:31:00,57.00,58.00,65.02,-1.00,-8.02
2010-08-02 05:32:00,57.00,58.00,64.96,-1.00,-7.96
2010-08-02 05:33:00,57.00,58.00,64.91,-1.00,-7.91
2010-08-02 05:34:00,57.00,58.00,64.85,-1.00,-7.85
2010-08-02 05:35:00,57.00,58.00,64.79,-1.00,-7.79
2010-08-02 05:36:00,57.00,58.00,64.73,-1.00,-7.73
2010-08-02 05:37:00,57.00,58.00,64.69,-1.00,-7.69
2010-08-02 05:38:00,57.00,58.00,64.69,-1.00,-7.69
2010-08-02 05:39:00,57.00,58.00,64.69,-1.00,-7.69
2010-08-02 05:40:00,57.00,58.00,64.70,-1.00,-7.70
2010-08-02 05:41:00,57.00,58.00,64.70,-1.00,-7.70
2010-08-02 05:42:00,57.00,58.00,64.70,-1.00,-7.70
2010-08-02 05:43:00,57.00,58.00,64.70,-1.00,-7.70
2010-08-02 05:44:00,57.00,58.00,64.70,-1.00,-7.70
2010-08-02 05:45:00,57.00,58.00,64.69,-1.00,-7.69
2010-08-02 05:46:00,57.00,58.00,64.69,-1.00,-7.69
2010-08-02 05:47:00,57.00,58.00,64.69,-1.00,-7.69
2010-08-02 05:48:00,57.00,58.00,64.69,-1.00,-7.69
2010-08-02 05:49:00,57.00,58.00,64.68,-1.00,-7.68
2010-08-02 05:50:00,57.00,58.00,64.68,-1.00,-7.68
2010-08-02 05:51:00,57.00,58.00,64.67,-1.00,-7.67
2010-08-02 05:52:00,57.00,58.00,64.67,-1.00,-7.67
2010-08-02 05:53:00,57.00,58.00,64.66,-1.00,-7.66
2010-08-02 05:54:00,57.00,58.00,64.66,-1.00,-7.66
2010-08-02 05:55:00,57.00,58.00,64.65,-1.00,-7.65
2010-08-02 05:56:00,57.00,58.00,64.63,-1.00,-7.63
