Time,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
2010-05-25 07:53:00,105.72,106.42,115.42,-0.70,-9.70
2010-05-25 07:54:00,105.72,106.42,115.49,-0.70,-9.78
2010-05-25 07:55:00,105.72,106.42,115.57,-0.70,-9.85
2010-05-25 07:56:00,105.72,106.42,115.64,-0.70,-9.92
2010-05-25 07:57:00,105.72,106.42,115.71,-0.70,-9.99
2010-05-25 07:58:00,105.72,106.42,115.78,-0.70,-10.06
2010-05-25 07:59:00,105.72,106.42,115.85,-0.70,-10.13
2010-05-25 08:00:00,105.72,106.42,115.92,-0.70,-10.20
2010-05-25 08:01:00,105.72,106.42,115.99,-0.70,-10.27
2010-05-25 08:02:00,105.72,106.42,116.05,-0.70,-10.33
2010-05-25 08:03:00,105.72,106.42,116.11,-0.70,-10.40
2010-05-25 08:04:00,105.72,106.42,116.17,-0.70,-10.46
2010-05-25 08:05:00,105.72,106.42,116.24,-0.70,-10.52
2010-05-25 08:06:00,105.72,106.42,116.29,-0.70,-10.58
2010-05-25 08:07:00,105.72,106.42,116.35,-0.70,-10.64
2010-05-25 08:08:00,105.72,106.42,116.41,-0.70,-10.69
2010-05-25 08:09:00,105.72,106.42,116.47,-0.70,-10.75
2010-05-25 08:10:00,105.72,106.42,116.52,-0.70,-10.80
2010-05-25 08:11:00,105.72,106.42,116.57,-0.70,-10.86
2010-05-25 08:12:00,105.72,106.42,116.62,-0.70,-10.91
2010-05-25 08:13:00,105.72,106.42,116.67,-0.70,-10.96
2010-05-25 08:14:00,105.72,106.42,116.72,-0.70,-11.00
2010-05-25 08:15:00,105.72,106.42,116.77,-0.70,-11.05
2010-05-25 08:16:00,105.72,106.42,116.81,-0.70,-11.10
2010-05-25 08:17:00,105.72,106.42,116.86,-0.70,-11.14
2010-05-25 08:18:00,105.72,106.42,116.90,-0.70,-11.19
2010-05-25 08:19:00,105.72,106.42,116.94,-0.70,-11.23
2010-05-25 08:20:00,105.72,106.42,116.98,-0.70,-11.27
2010-05-25 08:21:00,105.72,106.42,117.02,-0.70,-11.31
2010-05-25 08:22:00,105.72,106.42,117.06,-0.70,-11.35
2010-05-25 08:23:00,105.72,106.42,117.10,-0.70,-11.38
2010-05-25 08:24:00,105.72,106.42,117.13,-0.70,-11.42
2010-05-25 08:25:00,105.72,106.42,117.17,-0.70,-11.45
2010-05-25 08:26:00,105.72,106.42,117.20,-0.70,-11.49
2010-05-25 08:27:00,105.72,106.42,117.23,-0.70,-11.52
2010-05-25 08:28:00,105.72,106.42,117.27,-0.70,-11.55
2010-05-25 08:29:00,105.72,106.42,117.30,-0.70,-11.58
2010-05-25 08:30:00,105.72,106.42,117.33,-0.70,-11.61
2010-05-25 08:31:00,105.72,106.42,117.35,-0.70,-11.64
2010-05-25 08:32:00,105.72,106.42,118.22,-0.70,-12.50
2010-05-25 08:33:00,105.72,106.42,118.20,-0.70,-12.48
2010-05-25 08:34:00,105.72,106.42,118.18,-0.70,-12.46
2010-05-25 08:35:00,105.72,106.42,118.16,-0.70,-12.44
2010-05-25 08:36:00,105.72,106.42,118.13,-0.70,-12.42
2010-05-25 08:37:00,105.72,106.42,118.11,-0.70,-12.40
2010-05-25 08:38:00,105.72,106.42,118.09,-0.70,-12.37
2010-05-25 08:39:00,105.72,106.42,118.07,-0.70,-12.35
2010-05-25 08:40:00,105.72,106.42,118.04,-0.70,-12.33
2010-05-25 08:41:00,105.72,106.42,118.02,-0.70,-12.30
2010-05-25 08:42:00,105.72,106.42,117.99,-0.70,-12.28
2010-05-25 08:43:00,105.72,106.42,117.97,-0.70,-12.25
2010-05-25 08:44:00,105.72,106.42,117.94,-0.70,-12.23
2010-05-25 08:45:00,105.72,106.42,117.92,-0.70,-12.20
2010-05-25 08:46:00,105.72,106.42,117.89,-0.70,-12.18
2010-05-25 08:47:00,105.72,106.42,117.87,-0.70,-12.15
2010-05-25 08:48:00,105.72,106.42,117.71,-0.70,-12.00
2010-05-25 08:49:00,105.72,106.42,117.73,-0.70,-12.01
2010-05-25 08:50:00,105.72,106.42,117.74,-0.70,-12.03
2010-05-25 08:51:00,105.72,106.42,117.76,-0.70,-12.04
2010-05-25 08:52:00,105.72,106.42,117.76,-0.70,-12.04
2010-05-25 08:53:00,105.72,106.42,117.74,-0.70,-12.02
2010-05-25 08:54:00,105.72,106.42,117.72,-0.70,-12.01
2010-05-25 08:55:00,105.72,106.42,117.71,-0.70,-11.99
2010-05-25 08:56:00,105.72,106.42,117.69,-0.70,-11.97
2010-05-25 08:57:00,105.72,106.42,117.67,-0.70,-11.96
2010-05-25 08:58:00,105.72,106.42,117.65,-0.70,-11.94
2010-05-25 08:59:00,105.72,106.42,117.64,-0.70,-11.92
2010-05-25 09:00:00,105.72,106.42,117.62,-0.70,-11.90
2010-05-25 09:01:00,105.72,106.42,117.60,-0.70,-11.88
2010-05-25 09:02:00,105.72,106.42,117.58,-0.70,-11.87
2010-05-25 09:03:00,105.72,106.42,117.56,-0.70,-11.85
2010-05-25 09:04:00,105.72,106.42,117.55,-0.70,-11.83
2010-05-25 09:05:00,105.72,106.42,117.53,-0.70,-11.81
2010-05-25 09:06:00,105.72,106.42,117.51,-0.70,-11.79
2010-05-25 09:07:00,105.72,106.42,117.49,-0.70,-11.77
2010-05-25 09:08:00,105.72,106.42,117.47,-0.70,-11.76
2010-05-25 09:09:00,105.72,106.42,117.45,-0.70,-11.74
2010-05-25 09:10:00,105.72,106.42,117.43,-0.70,-11.72
2010-05-25 09:11:00,105.72,106.42,117.42,-0.70,-11.70
2010-05-25 09:12:00,105.72,106.42,117.40,-0.70,-11.68
2010-05-25 09:13:00,105.72,106.42,117.38,-0.70,-11.66
2010-05-25 09:14:00,105.72,106.42,117.36,-0.70,-11.64
2010-05-25 09:15:00,105.72,106.42,117.34,-0.70,-11.62
2010-05-25 09:16:00,105.72,106.42,117.32,-0.70,-11.61
2010-05-25 09:17:00,105.72,106.42,117.30,-0.70,-11.59
2010-05-25 09:18:00,105.72,106.42,117.28,-0.70,-11.57
2010-05-25 09:19:00,105.72,106.42,117.27,-0.70,-11.55
2010-05-25 09:20:00,105.72,106.42,117.25,-0.70,-11.53
2010-05-25 09:21:00,105.72,106.42,117.23,-0.70,-11.51
2010-05-25 09:22:00,105.72,106.42,117.21,-0.70,-11.49
2010-05-25 09:23:00,105.72,106.42,117.19,-0.70,-11.47
2010-05-25 09:24:00,105.72,106.42,117.17,-0.70,-11.46
2010-05-25 09:25:00,105.72,106.42,117.15,-0.70,-11.44
2010-05-25 09:26:00,105.72,106.42,117.14,-0.70,-11.42
2010-05-25 09:27:00,105.72,106.42,117.12,-0.70,-11.40
2010-05-25 09:28:00,105.72,106.42,117.10,-0.70,-11.38
2010-05-25 09:29:00,105.72,106.42,117.08,-0.70,-11.36
2010-05-25 09:30:00,105.72,106.42,117.06,-0.70,-11.35
2010-05-25 09:31:00,105.72,106.42,117.04,-0.70,-11.33
2010-05-25 09:32:00,105.72,106.42,117.03,-0.70,-11.31
2010-05-25 09:33:00,105.72,106.42,117.01,-0.70,-11.29
2010-05-25 09:34:00,105.72,106.42,116.99,-0.70,-11.27
2010-05-25 09:35:00,105.72,106.42,116.97,-0.70,-11.26
2010-05-25 09:36:00,105.72,106.42,116.96,-0.70,-11.24
2010-05-25 09:37:00,105.72,106.42,116.94,-0.70,-11.22
2010-05-25 09:38:00,105.72,106.42,116.92,-0.70,-11.20
2010-05-25 09:39:00,105.72,106.42,116.90,-0.70,-11.19
2010-05-25 09:40:00,105.72,106.42,116.89,-0.70,-11.17
2010-05-25 09:41:00,105.72,106.42,116.87,-0.70,-11.15
2010-05-25 09:42:00,105.72,106.42,116.85,-0.70,-11.13
