Model,Metric,Mean,Std
LR,AM,-10.0456,0.4379
LR,ME,-0.1272,0.7401
LR,MAE,4.9231,0.3464
LR,RMSE,7.5532,1.1419
LR,PCC,0.5081,0.0971
LR,R_sq,-0.0226,0.5360
SVR,AM,-9.1236,0.1780
SVR,ME,-1.0491,0.4951
SVR,MAE,4.5481,0.3452
SVR,RMSE,7.2736,0.8902
SVR,PCC,0.4724,0.0532
SVR,R_sq,0.1399,0.0257
GBM,AM,-10.0079,0.2231
GBM,ME,-0.1649,0.5221
GBM,MAE,4.4383,0.3106
GBM,RMSE,6.4405,0.6761
GBM,PCC,0.5982,0.0521
GBM,R_sq,0.3157,0.0996
RFR,AM,-9.8436,0.1629
RFR,ME,-0.3291,0.4475
RFR,MAE,4.1652,0.2527
RFR,RMSE,5.9560,0.5194
RFR,PCC,0.6601,0.0635
RFR,R_sq,0.4132,0.0879
