Model,Metric,Mean,Std
LR,AM,14.1377,0.4874
LR,ME,0.0218,0.1769
LR,MAE,1.3045,0.0736
LR,RMSE,2.1086,0.3085
LR,PCC,0.9598,0.0127
LR,R_sq,0.9198,0.0244
SVR,AM,13.3200,0.2464
SVR,ME,0.8395,0.3048
SVR,MAE,2.0078,0.2240
SVR,RMSE,4.6603,0.8483
SVR,PCC,0.8217,0.0406
SVR,R_sq,0.6242,0.0735
GBM,AM,14.1871,0.4834
GBM,ME,-0.0275,0.2321
GBM,MAE,1.3932,0.0682
GBM,RMSE,2.3732,0.2959
GBM,PCC,0.9501,0.0129
GBM,R_sq,0.8993,0.0257
RFR,AM,14.1689,0.4674
RFR,ME,-0.0093,0.2042
RFR,MAE,1.3918,0.0680
RFR,RMSE,2.3962,0.2967
RFR,PCC,0.9503,0.0118
RFR,R_sq,0.8983,0.0224
