Model,Metric,Mean,Std
LR,AM,-10.0429,0.4078
LR,ME,-0.1190,0.5880
LR,MAE,3.7433,0.2726
LR,RMSE,5.5076,0.5866
LR,PCC,0.7348,0.0783
LR,R_sq,0.4782,0.1387
SVR,AM,-9.4261,0.2576
SVR,ME,-0.7358,0.5599
SVR,MAE,4.0338,0.3246
SVR,RMSE,6.7771,0.9657
SVR,PCC,0.5791,0.0562
SVR,R_sq,0.2435,0.0407
GBM,AM,-9.9005,0.3525
GBM,ME,-0.2614,0.6028
GBM,MAE,3.3201,0.3250
GBM,RMSE,4.9649,0.8266
GBM,PCC,0.7754,0.0668
GBM,R_sq,0.5815,0.1155
RFR,AM,-9.8883,0.3472
RFR,ME,-0.2736,0.5738
RFR,MAE,3.3875,0.2779
RFR,RMSE,4.9148,0.7227
RFR,PCC,0.7833,0.0689
RFR,R_sq,0.5915,0.1022
