CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.14,-10.13,-5.52
02_2010-05-23,105.72,106.42,106.14,-0.70,-0.42
03_2010-08-01,57.00,58.00,52.97,-1.00,4.03
04_2011-09-06,60.77,71.67,72.68,-10.90,-11.92
05_2011-09-13,77.83,92.83,72.88,-15.00,4.96
06_2011-10-22,65.22,83.92,71.49,-18.70,-6.27
07_2012-01-19,63.40,64.40,62.97,-1.00,0.43
08_2012-03-07,34.05,24.87,34.90,9.18,-0.85
09_2012-06-14,43.93,47.67,45.82,-3.73,-1.88
10_2012-07-03,101.33,88.33,83.56,13.00,17.78
11_2012-07-12,49.20,47.20,46.80,2.00,2.40
12_2012-09-27,58.63,65.25,62.41,-6.62,-3.77
13_2012-10-05,75.67,94.67,69.57,-19.00,6.10
