CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.21,-10.13,-5.59
02_2010-05-23,105.72,106.42,106.09,-0.70,-0.37
03_2010-08-01,57.00,58.00,53.45,-1.00,3.55
04_2011-09-06,60.77,71.67,72.66,-10.90,-11.90
05_2011-09-13,77.83,92.83,72.85,-15.00,4.99
06_2011-10-22,65.22,83.92,71.52,-18.70,-6.31
07_2012-01-19,63.40,64.40,62.92,-1.00,0.48
08_2012-03-07,34.05,24.87,34.94,9.18,-0.89
09_2012-06-14,43.93,47.67,45.91,-3.73,-1.97
10_2012-07-03,101.33,88.33,83.42,13.00,17.91
11_2012-07-12,49.20,47.20,46.82,2.00,2.38
12_2012-09-27,58.63,65.25,62.46,-6.62,-3.83
13_2012-10-05,75.67,94.67,67.55,-19.00,8.12
