CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.15,-10.13,-5.54
02_2010-05-23,105.72,106.42,106.13,-0.70,-0.42
03_2010-08-01,57.00,58.00,53.04,-1.00,3.96
04_2011-09-06,60.77,71.67,72.68,-10.90,-11.91
05_2011-09-13,77.83,92.83,72.87,-15.00,4.96
06_2011-10-22,65.22,83.92,71.50,-18.70,-6.28
07_2012-01-19,63.40,64.40,62.96,-1.00,0.44
08_2012-03-07,34.05,24.87,37.06,9.18,-3.01
09_2012-06-14,43.93,47.67,45.84,-3.73,-1.90
10_2012-07-03,101.33,88.33,83.44,13.00,17.89
11_2012-07-12,49.20,47.20,46.80,2.00,2.40
12_2012-09-27,58.63,65.25,62.42,-6.62,-3.78
13_2012-10-05,75.67,94.67,74.26,-19.00,1.41
