CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.31,-10.13,-5.70
02_2010-05-23,105.72,106.42,106.01,-0.70,-0.29
03_2010-08-01,57.00,58.00,53.17,-1.00,3.83
04_2011-09-06,60.77,71.67,72.63,-10.90,-11.87
05_2011-09-13,77.83,92.83,72.80,-15.00,5.04
06_2011-10-22,65.22,83.92,71.54,-18.70,-6.33
07_2012-01-19,63.40,64.40,62.64,-1.00,0.76
08_2012-03-07,34.05,24.87,34.98,9.18,-0.93
09_2012-06-14,43.93,47.67,46.05,-3.73,-2.11
10_2012-07-03,101.33,88.33,83.59,13.00,17.74
11_2012-07-12,49.20,47.20,46.86,2.00,2.34
12_2012-09-27,58.63,65.25,62.57,-6.62,-3.94
13_2012-10-05,75.67,94.67,69.94,-19.00,5.73
