CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.28,-10.13,-5.66
02_2010-05-23,105.72,106.42,106.04,-0.70,-0.32
03_2010-08-01,57.00,58.00,53.23,-1.00,3.77
04_2011-09-06,60.77,71.67,72.64,-10.90,-11.88
05_2011-09-13,77.83,92.83,72.81,-15.00,5.02
06_2011-10-22,65.22,83.92,71.54,-18.70,-6.32
07_2012-01-19,63.40,64.40,62.79,-1.00,0.61
08_2012-03-07,34.05,24.87,34.97,9.18,-0.92
09_2012-06-14,43.93,47.67,46.04,-3.73,-2.11
10_2012-07-03,101.33,88.33,83.52,13.00,17.82
11_2012-07-12,49.20,47.20,46.85,2.00,2.35
12_2012-09-27,58.63,65.25,62.53,-6.62,-3.90
13_2012-10-05,75.67,94.67,69.88,-19.00,5.79
