CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.66,-10.13,-6.04
02_2010-05-23,105.72,106.42,105.76,-0.70,-0.04
03_2010-08-01,57.00,58.00,54.71,-1.00,2.29
04_2011-09-06,60.77,71.67,72.51,-10.90,-11.74
05_2011-09-13,77.83,92.83,72.59,-15.00,5.24
06_2011-10-22,65.22,83.92,71.55,-18.70,-6.33
07_2012-01-19,63.40,64.40,62.47,-1.00,0.93
08_2012-03-07,34.05,24.87,35.54,9.18,-1.49
09_2012-06-14,43.93,47.67,45.96,-3.73,-2.02
10_2012-07-03,101.33,88.33,83.09,13.00,18.24
11_2012-07-12,49.20,47.20,46.99,2.00,2.21
12_2012-09-27,58.63,65.25,62.60,-6.62,-3.97
13_2012-10-05,75.67,94.67,70.45,-19.00,5.22
