Time_A,Time_B,ensemble_member,EA_diff_A,EA_diff_B,Travel_time
2010-04-04 22:26:00,2010-04-04 08:19:00,1,-10.3475,-6.749429,60.75
2010-04-04 22:26:00,2010-04-04 08:19:00,2,-9.8148333,-6.369429,60.75
2010-04-04 22:26:00,2010-04-04 08:19:00,3,-9.3148333,-5.979429,59.75
2010-04-04 22:26:00,2010-04-04 08:19:00,4,-8.7848333,-5.5942677,58.75
2010-04-04 22:26:00,2010-04-04 08:19:00,5,-8.2921667,-5.2091065,58.75
2010-04-04 22:26:00,2010-04-04 08:19:00,6,-7.7995,-4.8542677,57.75
2010-04-04 22:26:00,2010-04-04 08:19:00,7,-7.2995,-4.5242677,57.75
2010-04-04 22:26:00,2010-04-04 08:19:00,8,-6.8041667,-4.1739452,56.75
2010-04-04 22:26:00,2010-04-04 08:19:00,9,-6.3115,-3.8091065,56.75
2010-04-04 22:26:00,2010-04-04 08:19:00,10,-5.8315,-3.5139452,56.75
2010-04-04 22:26:00,2010-04-04 08:19:00,11,-5.3588333,-3.1639452,55.75
2010-04-04 22:26:00,2010-04-04 08:19:00,12,-4.8735,-2.8939452,55.75
2010-04-04 22:26:00,2010-04-04 08:19:00,13,-4.3735,-2.5639452,54.75
2010-04-04 22:26:00,2010-04-04 08:19:00,14,-3.8608333,-2.2987839,54.75
2010-04-04 22:26:00,2010-04-04 08:19:00,15,-3.4255,-1.9439452,54.75
2010-04-04 22:26:00,2010-04-04 08:19:00,16,-2.9101667,-1.6887839,53.75
2010-04-04 22:26:00,2010-04-04 08:19:00,17,-2.4501667,-1.4636226,53.75
2010-04-04 22:26:00,2010-04-04 08:19:00,18,-1.9375,-1.0736226,52.75
2010-04-04 22:26:00,2010-04-04 08:19:00,19,-1.4548333,-0.8836226,52.75
2010-04-04 22:26:00,2010-04-04 08:19:00,20,-0.9695,-0.5633,52.75
2010-04-04 22:26:00,2010-04-04 08:19:00,21,-0.4795,-0.3036226,51.75
