CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.62,-10.13,-6.00
02_2010-05-23,105.72,106.42,105.79,-0.70,-0.07
03_2010-08-01,57.00,58.00,54.02,-1.00,2.98
04_2011-09-06,60.77,71.67,72.53,-10.90,-11.77
05_2011-09-13,77.83,92.83,72.63,-15.00,5.21
06_2011-10-22,65.22,83.92,71.53,-18.70,-6.32
07_2012-01-19,63.40,64.40,62.39,-1.00,1.01
08_2012-03-07,34.05,24.87,35.43,9.18,-1.38
09_2012-06-14,43.93,47.67,45.82,-3.73,-1.88
10_2012-07-03,101.33,88.33,83.30,13.00,18.03
11_2012-07-12,49.20,47.20,46.98,2.00,2.22
12_2012-09-27,58.63,65.25,62.62,-6.62,-3.99
13_2012-10-05,75.67,94.67,70.37,-19.00,5.30
