CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.20,-10.13,-5.58
02_2010-05-23,105.72,106.42,106.10,-0.70,-0.38
03_2010-08-01,57.00,58.00,53.36,-1.00,3.64
04_2011-09-06,60.77,71.67,72.67,-10.90,-11.90
05_2011-09-13,77.83,92.83,72.85,-15.00,4.98
06_2011-10-22,65.22,83.92,71.52,-18.70,-6.30
07_2012-01-19,63.40,64.40,62.93,-1.00,0.47
08_2012-03-07,34.05,24.87,34.93,9.18,-0.88
09_2012-06-14,43.93,47.67,45.89,-3.73,-1.96
10_2012-07-03,101.33,88.33,83.39,13.00,17.94
11_2012-07-12,49.20,47.20,46.82,2.00,2.38
12_2012-09-27,58.63,65.25,62.45,-6.62,-3.82
13_2012-10-05,75.67,94.67,69.69,-19.00,5.98
