CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.58,-10.13,-5.96
02_2010-05-23,105.72,106.42,105.82,-0.70,-0.10
03_2010-08-01,57.00,58.00,53.72,-1.00,3.28
04_2011-09-06,60.77,71.67,68.66,-10.90,-7.89
05_2011-09-13,77.83,92.83,72.66,-15.00,5.18
06_2011-10-22,65.22,83.92,71.53,-18.70,-6.31
07_2012-01-19,63.40,64.40,62.32,-1.00,1.08
08_2012-03-07,34.05,24.87,35.33,9.18,-1.28
09_2012-06-14,43.93,47.67,45.75,-3.73,-1.82
10_2012-07-03,101.33,88.33,83.41,13.00,17.92
11_2012-07-12,49.20,47.20,46.97,2.00,2.23
12_2012-09-27,58.63,65.25,62.66,-6.62,-4.03
13_2012-10-05,75.67,94.67,70.31,-19.00,5.36
