CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.64,-10.13,-6.02
02_2010-05-23,105.72,106.42,105.78,-0.70,-0.06
03_2010-08-01,57.00,58.00,54.19,-1.00,2.81
04_2011-09-06,60.77,71.67,72.52,-10.90,-11.76
05_2011-09-13,77.83,92.83,72.61,-15.00,5.22
06_2011-10-22,65.22,83.92,71.54,-18.70,-6.32
07_2012-01-19,63.40,64.40,62.42,-1.00,0.98
08_2012-03-07,34.05,24.87,35.47,9.18,-1.42
09_2012-06-14,43.93,47.67,45.87,-3.73,-1.93
10_2012-07-03,101.33,88.33,83.47,13.00,17.86
11_2012-07-12,49.20,47.20,46.99,2.00,2.21
12_2012-09-27,58.63,65.25,62.61,-6.62,-3.97
13_2012-10-05,75.67,94.67,70.40,-19.00,5.26
