Time_A,Time_B,ensemble_member,EA_diff_A,EA_diff_B,Travel_time
2010-08-02 17:08:00,2010-08-02 15:05:00,1,-0.5304762,6.2668476,64.0
2010-08-02 17:08:00,2010-08-02 15:05:00,2,-0.1204762,6.7773238,63.0
2010-08-02 17:08:00,2010-08-02 15:05:00,3,0.2995238,7.2473238,62.0
2010-08-02 17:08:00,2010-08-02 15:05:00,4,0.6704762,7.7178,62.0
2010-08-02 17:08:00,2010-08-02 15:05:00,5,1.0704762,8.2082762,61.0
2010-08-02 17:08:00,2010-08-02 15:05:00,6,1.4304762,8.6982762,61.0
2010-08-02 17:08:00,2010-08-02 15:05:00,7,1.8104762,9.1387524,60.0
2010-08-02 17:08:00,2010-08-02 15:05:00,8,2.1704762,9.6187524,60.0
2010-08-02 17:08:00,2010-08-02 15:05:00,9,2.5114286,10.0887524,59.0
2010-08-02 17:08:00,2010-08-02 15:05:00,10,2.8414286,10.5297048,59.0
2010-08-02 17:08:00,2010-08-02 15:05:00,11,3.1914286,10.9792286,58.0
2010-08-02 17:08:00,2010-08-02 15:05:00,12,3.542381,11.4392286,58.0
2010-08-02 17:08:00,2010-08-02 15:05:00,13,3.8714286,11.850181,57.0
2010-08-02 17:08:00,2010-08-02 15:05:00,14,4.202381,12.2697048,57.0
2010-08-02 17:08:00,2010-08-02 15:05:00,15,4.5414286,12.710181,56.0
2010-08-02 17:08:00,2010-08-02 15:05:00,16,4.852381,13.1406571,56.0
2010-08-02 17:08:00,2010-08-02 15:05:00,17,5.202381,13.5606571,55.0
2010-08-02 17:08:00,2010-08-02 15:05:00,18,5.512381,13.9506571,55.0
2010-08-02 17:08:00,2010-08-02 15:05:00,19,5.8433333,14.3606571,54.0
2010-08-02 17:08:00,2010-08-02 15:05:00,20,6.1733333,14.7306571,54.0
2010-08-02 17:08:00,2010-08-02 15:05:00,21,6.4833333,15.1506571,54.0
