CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.47,-10.13,-5.86
02_2010-05-23,105.72,106.42,105.90,-0.70,-0.18
03_2010-08-01,57.00,58.00,53.25,-1.00,3.75
04_2011-09-06,60.77,71.67,72.58,-10.90,-11.82
05_2011-09-13,77.83,92.83,72.73,-15.00,5.11
06_2011-10-22,65.22,83.92,71.52,-18.70,-6.31
07_2012-01-19,63.40,64.40,62.28,-1.00,1.12
08_2012-03-07,34.05,24.87,35.13,9.18,-1.08
09_2012-06-14,43.93,47.67,45.43,-3.73,-1.49
10_2012-07-03,101.33,88.33,83.34,13.00,17.99
11_2012-07-12,49.20,47.20,46.92,2.00,2.28
12_2012-09-27,58.63,65.25,62.74,-6.62,-4.11
13_2012-10-05,75.67,94.67,70.15,-19.00,5.52
