CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.61,-10.13,-5.99
02_2010-05-23,105.72,106.42,105.80,-0.70,-0.08
03_2010-08-01,57.00,58.00,63.19,-1.00,-6.19
04_2011-09-06,60.77,71.67,72.54,-10.90,-11.77
05_2011-09-13,77.83,92.83,69.42,-15.00,8.41
06_2011-10-22,65.22,83.92,71.53,-18.70,-6.31
07_2012-01-19,63.40,64.40,62.37,-1.00,1.03
08_2012-03-07,34.05,24.87,35.41,9.18,-1.36
09_2012-06-14,43.93,47.67,45.80,-3.73,-1.86
10_2012-07-03,101.33,88.33,83.13,13.00,18.20
11_2012-07-12,49.20,47.20,46.98,2.00,2.22
12_2012-09-27,58.63,65.25,62.63,-6.62,-4.00
13_2012-10-05,75.67,94.67,70.35,-19.00,5.31
