CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.38,-10.13,-5.77
02_2010-05-23,105.72,106.42,105.96,-0.70,-0.24
03_2010-08-01,57.00,58.00,53.13,-1.00,3.87
04_2011-09-06,60.77,71.67,72.61,-10.90,-11.85
05_2011-09-13,77.83,92.83,76.31,-15.00,1.53
06_2011-10-22,65.22,83.92,71.54,-18.70,-6.32
07_2012-01-19,63.40,64.40,63.07,-1.00,0.33
08_2012-03-07,34.05,24.87,35.03,9.18,-0.98
09_2012-06-14,43.93,47.67,45.67,-3.73,-1.73
10_2012-07-03,101.33,88.33,83.29,13.00,18.05
11_2012-07-12,49.20,47.20,46.88,2.00,2.32
12_2012-09-27,58.63,65.25,62.64,-6.62,-4.01
13_2012-10-05,75.67,94.67,70.02,-19.00,5.64
