CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.23,-10.13,-5.62
02_2010-05-23,105.72,106.42,106.07,-0.70,-0.35
03_2010-08-01,57.00,58.00,53.36,-1.00,3.64
04_2011-09-06,60.77,71.67,72.66,-10.90,-11.89
05_2011-09-13,77.83,92.83,72.83,-15.00,5.00
06_2011-10-22,65.22,83.92,71.53,-18.70,-6.31
07_2012-01-19,63.40,64.40,62.90,-1.00,0.50
08_2012-03-07,34.05,24.87,34.95,9.18,-0.90
09_2012-06-14,43.93,47.67,45.95,-3.73,-2.01
10_2012-07-03,101.33,88.33,83.75,13.00,17.58
11_2012-07-12,49.20,47.20,46.83,2.00,2.37
12_2012-09-27,58.63,65.25,62.49,-6.62,-3.85
13_2012-10-05,75.67,94.67,73.13,-19.00,2.53
