CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.13,-10.13,-5.51
02_2010-05-23,105.72,106.42,106.15,-0.70,-0.43
03_2010-08-01,57.00,58.00,52.90,-1.00,4.10
04_2011-09-06,60.77,71.67,72.69,-10.90,-11.92
05_2011-09-13,77.83,92.83,72.88,-15.00,4.95
06_2011-10-22,65.22,83.92,71.49,-18.70,-6.27
07_2012-01-19,63.40,64.40,62.98,-1.00,0.42
08_2012-03-07,34.05,24.87,37.03,9.18,-2.98
09_2012-06-14,43.93,47.67,45.80,-3.73,-1.87
10_2012-07-03,101.33,88.33,83.66,13.00,17.67
11_2012-07-12,49.20,47.20,46.79,2.00,2.41
12_2012-09-27,58.63,65.25,62.40,-6.62,-3.77
13_2012-10-05,75.67,94.67,69.54,-19.00,6.13
