CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.14,-10.13,-5.52
02_2010-05-23,105.72,106.42,106.21,-0.70,-0.50
03_2010-08-01,57.00,58.00,52.49,-1.00,4.51
04_2011-09-06,60.77,71.67,72.71,-10.90,-11.95
05_2011-09-13,77.83,92.83,72.92,-15.00,4.91
06_2011-10-22,65.22,83.92,71.45,-18.70,-6.23
07_2012-01-19,63.40,64.40,62.82,-1.00,0.58
08_2012-03-07,34.05,24.87,34.86,9.18,-0.81
09_2012-06-14,43.93,47.67,45.79,-3.73,-1.86
10_2012-07-03,101.33,88.33,83.69,13.00,17.65
11_2012-07-12,49.20,47.20,46.76,2.00,2.44
12_2012-09-27,58.63,65.25,62.38,-6.62,-3.75
13_2012-10-05,75.67,94.67,69.38,-19.00,6.29
