CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.02,-10.13,-5.40
02_2010-05-23,105.72,106.42,106.25,-0.70,-0.53
03_2010-08-01,57.00,58.00,52.32,-1.00,4.68
04_2011-09-06,60.77,71.67,72.73,-10.90,-11.96
05_2011-09-13,77.83,92.83,72.94,-15.00,4.89
06_2011-10-22,65.22,83.92,71.43,-18.70,-6.21
07_2012-01-19,63.40,64.40,62.65,-1.00,0.75
08_2012-03-07,34.05,24.87,34.85,9.18,-0.80
09_2012-06-14,43.93,47.67,45.57,-3.73,-1.63
10_2012-07-03,101.33,88.33,83.53,13.00,17.80
11_2012-07-12,49.20,47.20,46.74,2.00,2.46
12_2012-09-27,58.63,65.25,62.37,-6.62,-3.73
13_2012-10-05,75.67,94.67,69.30,-19.00,6.37
