CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.12,-10.13,-5.50
02_2010-05-23,105.72,106.42,106.16,-0.70,-0.44
03_2010-08-01,57.00,58.00,52.83,-1.00,4.17
04_2011-09-06,60.77,71.67,72.69,-10.90,-11.92
05_2011-09-13,77.83,92.83,72.89,-15.00,4.94
06_2011-10-22,65.22,83.92,71.48,-18.70,-6.26
07_2012-01-19,63.40,64.40,62.99,-1.00,0.41
08_2012-03-07,34.05,24.87,34.89,9.18,-0.84
09_2012-06-14,43.93,47.67,45.79,-3.73,-1.86
10_2012-07-03,101.33,88.33,83.56,13.00,17.77
11_2012-07-12,49.20,47.20,46.79,2.00,2.41
12_2012-09-27,58.63,65.25,62.40,-6.62,-3.76
13_2012-10-05,75.67,94.67,69.52,-19.00,6.15
