Time,EA_raw,EA_smooth
2012-07-05 00:55:09,15.601731507132323,15.67
2012-07-05 09:32:33,20.004939019609388,19.75
2012-07-05 15:17:28,22.9404106945941,23.05
2012-07-05 19:27:57,25.06047357097195,25.68
2012-07-06 01:21:06,28.403649645260096,27.79
2012-07-06 03:53:02,29.789844602891762,29.54
2012-07-06 06:12:39,30.931416920941373,31.09
2012-07-06 09:05:06,32.23607099871236,32.63
2012-07-06 13:32:01,34.3561338750902,34.35
2012-07-06 18:35:53,36.802360270910796,36.45
2012-07-06 23:47:58,39.00396402714933,39.15
